ID,P@5,P@10,P@15,P@20,P@tot,R@5,R@10,R@15,R@20,R@tot
S074301671630078X,0.0,0.0,0.06666666666666667,0.1,0.11538461538461539,0.0,0.0,0.14285714285714285,0.2857142857142857,0.8571428571428571
S0304380014003007,0.0,0.2,0.13333333333333333,0.1,0.10526315789473684,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.9090909090909091
S180886941830274X,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,1.0
S0045653518301218,0.0,0.0,0.0,0.0,0.0759493670886076,0.0,0.0,0.0,0.0,1.0
S2451865419300638,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.875
S0003347215001530,0.2,0.1,0.06666666666666667,0.05,0.08333333333333333,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.2777777777777778
S0031920119302122,0.0,0.0,0.0,0.0,0.05357142857142857,0.0,0.0,0.0,0.0,1.0
S2352711016300358,0.0,0.1,0.06666666666666667,0.05,0.07936507936507936,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.7142857142857143
S0378216616306233,0.0,0.0,0.0,0.0,0.06172839506172839,0.0,0.0,0.0,0.0,0.7142857142857143
S2214629618305322,0.0,0.1,0.06666666666666667,0.25,0.3225806451612903,0.0,0.1,0.1,0.5,1.0
S092180091630194X,0.0,0.0,0.0,0.0,0.1323529411764706,0.0,0.0,0.0,0.0,0.9
S0925527317300270,0.0,0.0,0.0,0.0,0.0975609756097561,0.0,0.0,0.0,0.0,0.8
S2589915519300276,0.2,0.1,0.13333333333333333,0.1,0.07317073170731707,0.1,0.1,0.2,0.2,0.6
S0021999118303942,0.0,0.0,0.0,0.0,0.109375,0.0,0.0,0.0,0.0,0.8235294117647058
S0883292717300033,0.0,0.0,0.0,0.0,0.057971014492753624,0.0,0.0,0.0,0.0,0.4444444444444444
S0022169414004910,0.0,0.0,0.0,0.0,0.058333333333333334,0.0,0.0,0.0,0.0,1.0
S0264127516313296,0.0,0.0,0.06666666666666667,0.05,0.16129032258064516,0.0,0.0,0.09090909090909091,0.09090909090909091,0.9090909090909091
S000368701630028X,0.0,0.0,0.06666666666666667,0.05,0.13636363636363635,0.0,0.0,0.125,0.125,0.75
S1756464616302286,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.5714285714285714
S2468170918300730,0.2,0.3,0.2,0.15,0.04081632653061224,0.2,0.6,0.6,0.6,0.8
S1053811917301234,0.0,0.0,0.0,0.0,0.08791208791208792,0.0,0.0,0.0,0.0,0.8
S1521661617302073,0.0,0.1,0.13333333333333333,0.1,0.07894736842105263,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.8571428571428571
S1359645416306796,0.0,0.2,0.26666666666666666,0.25,0.15714285714285714,0.0,0.15384615384615385,0.3076923076923077,0.38461538461538464,0.8461538461538461
S0269749119325217,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.875
S0301421516304566,0.0,0.0,0.0,0.0,0.11392405063291139,0.0,0.0,0.0,0.0,1.0
S221367111730334X,0.2,0.1,0.13333333333333333,0.1,0.19047619047619047,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.9230769230769231
S2451929417303194,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.2
S1388248116303113,0.2,0.1,0.13333333333333333,0.15,0.11764705882352941,0.125,0.125,0.25,0.375,1.0
S0022249617302407,0.0,0.0,0.0,0.0,0.11842105263157894,0.0,0.0,0.0,0.0,0.75
S0717345815000421,0.0,0.0,0.06666666666666667,0.1,0.0975609756097561,0.0,0.0,0.07692307692307693,0.15384615384615385,0.6153846153846154
S1808869418301174,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.8181818181818182
