ID,P@5,P@10,P@15,P@20,P@tot,R@5,R@10,R@15,R@20,R@tot
S0165188919300764,0.2,0.2,0.13333333333333333,0.1,0.0975609756097561,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5714285714285714
S0966636216301497,0.2,0.1,0.06666666666666667,0.05,0.08860759493670886,0.125,0.125,0.125,0.125,0.875
S004019511830163X,0.0,0.0,0.0,0.0,0.08860759493670886,0.0,0.0,0.0,0.0,1.0
S0376635718304200,0.0,0.0,0.0,0.0,0.14925373134328357,0.0,0.0,0.0,0.0,0.8333333333333334
S0028393214002942,0.0,0.0,0.0,0.0,0.0821917808219178,0.0,0.0,0.0,0.0,0.8571428571428571
S0149763418300198,0.0,0.1,0.2,0.15,0.1,0.0,0.05555555555555555,0.16666666666666666,0.16666666666666666,0.5
S1389934118304775,0.2,0.1,0.06666666666666667,0.1,0.08823529411764706,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,1.0
S0277953618305100,0.0,0.0,0.0,0.0,0.08791208791208792,0.0,0.0,0.0,0.0,1.0
S0167577X16301215,0.0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.1,0.1,0.1
S106345841401053X,0.0,0.0,0.0,0.0,0.19047619047619047,0.0,0.0,0.0,0.0,0.8
S0264410X17311660,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.8333333333333334
S0378216617307452,0.2,0.1,0.06666666666666667,0.05,0.07692307692307693,0.125,0.125,0.125,0.125,0.75
S0095895616301083,0.2,0.2,0.13333333333333333,0.1,0.11538461538461539,0.125,0.25,0.25,0.25,0.75
S0165176519302630,0.0,0.0,0.0,0.15,0.2826086956521739,0.0,0.0,0.0,0.23076923076923078,1.0
S037722171930339X,0.2,0.1,0.13333333333333333,0.15,0.12903225806451613,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.8888888888888888
S0277953619306719,0.0,0.0,0.0,0.0,0.06542056074766354,0.0,0.0,0.0,0.0,0.7
S0009250914001377,0.0,0.0,0.0,0.05,0.13559322033898305,0.0,0.0,0.0,0.1,0.8
S221133551500100X,0.0,0.0,0.0,0.0,0.04054054054054054,0.0,0.0,0.0,0.0,0.6
S0997754615303241,0.0,0.1,0.13333333333333333,0.1,0.10638297872340426,0.0,0.1,0.2,0.2,0.5
S0022519314001507,0.0,0.0,0.0,0.0,0.056818181818181816,0.0,0.0,0.0,0.0,0.625
S2095809917307191,0.0,0.0,0.0,0.0,0.0851063829787234,0.0,0.0,0.0,0.0,0.8888888888888888
S1053811918319372,0.0,0.0,0.0,0.0,0.07368421052631578,0.0,0.0,0.0,0.0,0.875
S0022283619302530,0.0,0.0,0.0,0.0,0.14814814814814814,0.0,0.0,0.0,0.0,1.0
S0010938X19309564,0.0,0.0,0.0,0.0,0.06521739130434782,0.0,0.0,0.0,0.0,0.2727272727272727
S0921889015000834,0.0,0.0,0.06666666666666667,0.1,0.05555555555555555,0.0,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855
S0048969717328139,0.0,0.0,0.0,0.0,0.0945945945945946,0.0,0.0,0.0,0.0,0.7
S0013935118303323,0.0,0.1,0.06666666666666667,0.05,0.04040404040404041,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.4444444444444444
S0963869518303268,0.2,0.1,0.06666666666666667,0.05,0.125,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.7142857142857143
S0009254117304291,0.0,0.0,0.06666666666666667,0.05,0.13131313131313133,0.0,0.0,0.07142857142857142,0.07142857142857142,0.9285714285714286
S1672022915000480,0.0,0.0,0.06666666666666667,0.05,0.09090909090909091,0.0,0.0,0.1111111111111111,0.1111111111111111,0.8888888888888888
S2352853218301305,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.6666666666666666
S2162253117302925,0.0,0.2,0.13333333333333333,0.1,0.08433734939759036,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.6363636363636364
S2212420917304090,0.0,0.0,0.0,0.05,0.09183673469387756,0.0,0.0,0.0,0.08333333333333333,0.75
S0926860X16304203,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.75
S0091743513004593,0.0,0.0,0.0,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,0.4444444444444444
S104346661630062X,0.0,0.1,0.06666666666666667,0.05,0.056338028169014086,0.0,0.125,0.125,0.125,0.5
S1369703X18301591,0.0,0.0,0.06666666666666667,0.1,0.1,0.0,0.0,0.125,0.25,1.0
S0378383919301784,0.0,0.0,0.06666666666666667,0.05,0.09722222222222222,0.0,0.0,0.1111111111111111,0.1111111111111111,0.7777777777777778
S1044532318300836,0.2,0.1,0.2,0.15,0.2727272727272727,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.16666666666666666,0.5
S0167404817300871,0.0,0.0,0.0,0.0,0.11267605633802817,0.0,0.0,0.0,0.0,0.8888888888888888
S2214509518303218,0.2,0.1,0.06666666666666667,0.05,0.15,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.9230769230769231
S0167268115002838,0.4,0.2,0.13333333333333333,0.15,0.10294117647058823,0.25,0.25,0.25,0.375,0.875
S2210261219302172,0.0,0.0,0.0,0.0,0.14814814814814814,0.0,0.0,0.0,0.0,0.9230769230769231
S0301479716307939,0.0,0.0,0.0,0.05,0.11764705882352941,0.0,0.0,0.0,0.08333333333333333,0.6666666666666666
S0166432816303321,0.0,0.0,0.0,0.0,0.08860759493670886,0.0,0.0,0.0,0.0,0.7777777777777778
S2468067217300354,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.5
S2214623719300237,0.0,0.0,0.0,0.05,0.07920792079207921,0.0,0.0,0.0,0.1,0.8
S2405852118300429,0.0,0.3,0.2,0.15,0.06666666666666667,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5714285714285714
S2468217917300540,0.8,0.4,0.3333333333333333,0.3,0.38461538461538464,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.4,0.6666666666666666
S0966692316304082,0.0,0.0,0.0,0.0,0.09302325581395349,0.0,0.0,0.0,0.0,0.8
S1045235418301576,0.0,0.0,0.06666666666666667,0.05,0.07692307692307693,0.0,0.0,0.2,0.2,1.0
S0165027017303254,0.0,0.1,0.06666666666666667,0.05,0.06315789473684211,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.6666666666666666
S1364815216303541,0.0,0.0,0.0,0.0,0.07575757575757576,0.0,0.0,0.0,0.0,0.625
S001623611932160X,0.0,0.1,0.06666666666666667,0.05,0.02531645569620253,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222
S0898589818301268,0.2,0.1,0.06666666666666667,0.05,0.09523809523809523,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.46153846153846156
S0028390816301563,0.0,0.0,0.0,0.05,0.08536585365853659,0.0,0.0,0.0,0.125,0.875
S0034425719304328,0.0,0.0,0.0,0.0,0.11940298507462686,0.0,0.0,0.0,0.0,1.0
S0378778819306978,0.0,0.1,0.06666666666666667,0.1,0.15714285714285714,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.9166666666666666
S0268005X14001842,0.4,0.2,0.13333333333333333,0.25,0.24324324324324326,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.38461538461538464,0.6923076923076923
S1879437815000121,0.2,0.1,0.06666666666666667,0.05,0.10144927536231885,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.5
S1053811919302216,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.8181818181818182
S0304399116301395,0.0,0.1,0.06666666666666667,0.05,0.10344827586206896,0.0,0.125,0.125,0.125,0.75
S0891584919313437,0.2,0.2,0.2,0.15,0.12903225806451613,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.8888888888888888
S235267341830163X,0.0,0.0,0.0,0.1,0.25,0.0,0.0,0.0,0.2222222222222222,0.6666666666666666
S0109564113004004,0.0,0.1,0.06666666666666667,0.05,0.08653846153846154,0.0,0.1,0.1,0.1,0.9
S0254629916337863,0.0,0.1,0.06666666666666667,0.05,0.06666666666666667,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.4444444444444444
S0021999115001412,0.2,0.1,0.06666666666666667,0.05,0.15384615384615385,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.5
S0014305717311576,0.0,0.0,0.0,0.05,0.13043478260869565,0.0,0.0,0.0,0.125,0.75
S036054421730244X,0.0,0.0,0.06666666666666667,0.05,0.10344827586206896,0.0,0.0,0.1111111111111111,0.1111111111111111,0.6666666666666666
S2213158218303656,0.2,0.1,0.06666666666666667,0.05,0.125,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.9090909090909091
S0040162519303427,0.0,0.0,0.0,0.05,0.07894736842105263,0.0,0.0,0.0,0.125,0.75
S0165188919300764,0.2,0.2,0.13333333333333333,0.1,0.0975609756097561,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5714285714285714
S0306261916309771,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,1.0
S1043661813002673,0.0,0.0,0.0,0.0,0.0784313725490196,0.0,0.0,0.0,0.0,0.8888888888888888
S0006291X18322307,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.9
S1007570419302734,0.0,0.0,0.13333333333333333,0.15,0.13043478260869565,0.0,0.0,0.2857142857142857,0.42857142857142855,0.8571428571428571
S0168900213014411,0.0,0.1,0.06666666666666667,0.05,0.06521739130434782,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855
S0161589018310058,0.0,0.1,0.13333333333333333,0.2,0.171875,0.0,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.7333333333333333
S1353829217304185,0.0,0.0,0.06666666666666667,0.05,0.10294117647058823,0.0,0.0,0.1,0.1,0.7
S2352340919305992,0.2,0.2,0.13333333333333333,0.1,0.19047619047619047,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.8571428571428571
S030439401930641X,0.0,0.0,0.0,0.0,0.09615384615384616,0.0,0.0,0.0,0.0,0.625
S1388248119302796,0.0,0.0,0.13333333333333333,0.1,0.15384615384615385,0.0,0.0,0.18181818181818182,0.18181818181818182,0.7272727272727273
S2352179119300341,0.0,0.2,0.26666666666666666,0.2,0.24390243902439024,0.0,0.2,0.4,0.4,1.0
S0042698919301403,0.0,0.0,0.0,0.0,0.08450704225352113,0.0,0.0,0.0,0.0,1.0
S0960982216314488,0.0,0.1,0.06666666666666667,0.05,0.03571428571428571,0.0,0.125,0.125,0.125,0.375
S0889159118304161,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.8571428571428571
S1049964418305103,0.0,0.0,0.0,0.0,0.10975609756097561,0.0,0.0,0.0,0.0,0.8181818181818182
S026151771630262X,0.0,0.0,0.0,0.0,0.13793103448275862,0.0,0.0,0.0,0.0,0.8888888888888888
S0254629913003876,0.0,0.0,0.0,0.0,0.03614457831325301,0.0,0.0,0.0,0.0,0.42857142857142855
S0195666315001439,0.0,0.0,0.0,0.05,0.08235294117647059,0.0,0.0,0.0,0.14285714285714285,1.0
S009830041930086X,0.0,0.0,0.0,0.0,0.0989010989010989,0.0,0.0,0.0,0.0,0.75
S0034425717302729,0.0,0.0,0.0,0.0,0.10810810810810811,0.0,0.0,0.0,0.0,0.5
S0165027017302868,0.0,0.0,0.0,0.0,0.10666666666666667,0.0,0.0,0.0,0.0,0.6666666666666666
S0195666318315381,0.0,0.0,0.0,0.0,0.10344827586206896,0.0,0.0,0.0,0.0,0.75
S1871187114000303,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666
S092540051630051X,0.0,0.0,0.06666666666666667,0.05,0.07291666666666667,0.0,0.0,0.125,0.125,0.875
S0264127518308529,0.0,0.0,0.0,0.0,0.10810810810810811,0.0,0.0,0.0,0.0,0.8888888888888888
S2589537018300531,0.0,0.0,0.0,0.0,0.03529411764705882,0.0,0.0,0.0,0.0,0.3
S2451865416300461,0.0,0.0,0.0,0.0,0.10465116279069768,0.0,0.0,0.0,0.0,0.75
S1359645414004984,0.0,0.0,0.0,0.0,0.07246376811594203,0.0,0.0,0.0,0.0,0.625
S2212420918312834,0.0,0.0,0.0,0.05,0.21052631578947367,0.0,0.0,0.0,0.07142857142857142,0.5714285714285714
S2215016118300505,0.0,0.0,0.06666666666666667,0.05,0.06944444444444445,0.0,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857143
S1053811918319451,0.0,0.0,0.0,0.05,0.11320754716981132,0.0,0.0,0.0,0.125,0.75
S2214629617301974,0.0,0.0,0.0,0.0,0.05333333333333334,0.0,0.0,0.0,0.0,0.8
S0040609016306782,0.2,0.1,0.06666666666666667,0.05,0.10344827586206896,0.1,0.1,0.1,0.1,0.6
S2049080119301530,0.0,0.1,0.06666666666666667,0.05,0.11290322580645161,0.0,0.1,0.1,0.1,0.7
S0006291X16316217,0.0,0.0,0.0,0.0,0.052083333333333336,0.0,0.0,0.0,0.0,0.7142857142857143
S0042682216000106,0.0,0.0,0.0,0.05,0.11666666666666667,0.0,0.0,0.0,0.07692307692307693,0.5384615384615384
S0264410X19307819,0.0,0.0,0.06666666666666667,0.05,0.0891089108910891,0.0,0.0,0.1,0.1,0.9
S2352179115300946,0.0,0.0,0.13333333333333333,0.2,0.1016949152542373,0.0,0.0,0.2222222222222222,0.4444444444444444,0.6666666666666666
S0264410X1500506X,0.0,0.0,0.0,0.0,0.09302325581395349,0.0,0.0,0.0,0.0,1.0
S2352556818304156,0.4,0.3,0.2,0.15,0.14102564102564102,0.16666666666666666,0.25,0.25,0.25,0.9166666666666666
S0277953617303118,0.0,0.0,0.0,0.0,0.07526881720430108,0.0,0.0,0.0,0.0,0.875
S193131281930112X,0.0,0.0,0.0,0.05,0.13414634146341464,0.0,0.0,0.0,0.07142857142857142,0.7857142857142857
S0167923616300239,0.0,0.0,0.0,0.0,0.09302325581395349,0.0,0.0,0.0,0.0,1.0
S2211335517300232,0.0,0.0,0.0,0.0,0.08771929824561403,0.0,0.0,0.0,0.0,0.8333333333333334
S0747563215003180,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.6666666666666666
S0005791616300441,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.6
S2211335519300634,0.0,0.0,0.0,0.0,0.042105263157894736,0.0,0.0,0.0,0.0,1.0
S0377027317301385,0.0,0.0,0.0,0.0,0.09615384615384616,0.0,0.0,0.0,0.0,1.0
S016523701630568X,0.0,0.1,0.06666666666666667,0.05,0.09433962264150944,0.0,0.2,0.2,0.2,1.0
S1198743X18302106,0.0,0.1,0.06666666666666667,0.05,0.12857142857142856,0.0,0.1,0.1,0.1,0.9
S1063458415000254,0.0,0.1,0.06666666666666667,0.05,0.10666666666666667,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.8888888888888888
S0022437517304176,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.7142857142857143
S0901502718302005,0.0,0.0,0.0,0.0,0.09333333333333334,0.0,0.0,0.0,0.0,0.875
S1353829217304239,0.0,0.0,0.0,0.0,0.1509433962264151,0.0,0.0,0.0,0.0,1.0
S1568494616300242,0.0,0.0,0.0,0.0,0.12903225806451613,0.0,0.0,0.0,0.0,0.6666666666666666
S0929119917305539,0.0,0.0,0.06666666666666667,0.05,0.13513513513513514,0.0,0.0,0.1111111111111111,0.1111111111111111,0.5555555555555556
S2352711016300280,0.0,0.0,0.0,0.0,0.07547169811320754,0.0,0.0,0.0,0.0,0.8
S0378112716304145,0.2,0.1,0.06666666666666667,0.05,0.06862745098039216,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.6363636363636364
S1352231018300992,0.0,0.0,0.0,0.05,0.08620689655172414,0.0,0.0,0.0,0.07142857142857142,0.7142857142857143
S1387380616301828,0.0,0.1,0.13333333333333333,0.1,0.19117647058823528,0.0,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.7647058823529411
S2211379716300304,0.0,0.0,0.0,0.0,0.05319148936170213,0.0,0.0,0.0,0.0,0.7142857142857143
S2351989415300184,0.0,0.0,0.0,0.0,0.04054054054054054,0.0,0.0,0.0,0.0,0.5
S0029801817302433,0.0,0.0,0.06666666666666667,0.15,0.21052631578947367,0.0,0.0,0.07142857142857142,0.21428571428571427,0.8571428571428571
S0377221715007924,0.0,0.0,0.0,0.0,0.109375,0.0,0.0,0.0,0.0,0.7
S002219961730096X,0.0,0.2,0.2,0.15,0.1891891891891892,0.0,0.25,0.375,0.375,0.875
S0306261915013847,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.45454545454545453
S0008884616310961,0.0,0.0,0.0,0.05,0.1794871794871795,0.0,0.0,0.0,0.1,0.7
