ID,P@5,P@10,P@15,P@20,P@tot,R@5,R@10,R@15,R@20,R@tot
S0888327019301608,0.0,0.1,0.06666666666666667,0.1,0.14893617021276595,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.7777777777777778
S2210261218304565,0.0,0.0,0.13333333333333333,0.1,0.13725490196078433,0.0,0.0,0.2222222222222222,0.2222222222222222,0.7777777777777778
S0306261916308881,0.0,0.0,0.0,0.0,0.109375,0.0,0.0,0.0,0.0,0.6363636363636364
S0142112318301221,0.0,0.0,0.0,0.0,0.14457831325301204,0.0,0.0,0.0,0.0,0.8571428571428571
S0160412019300595,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,1.0
S0917504017301077,0.0,0.0,0.06666666666666667,0.05,0.06666666666666667,0.0,0.0,0.2,0.2,1.0
S1808869416302269,0.0,0.2,0.13333333333333333,0.1,0.10344827586206896,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0
S0378429017319135,0.0,0.1,0.06666666666666667,0.05,0.07563025210084033,0.0,0.1,0.1,0.1,0.9
S1808869419301181,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.375
S2405471218301108,0.2,0.1,0.06666666666666667,0.05,0.12307692307692308,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.4444444444444444
S1569190X15000647,0.0,0.0,0.13333333333333333,0.1,0.14285714285714285,0.0,0.0,0.2857142857142857,0.2857142857142857,1.0
S1534580718308815,0.0,0.0,0.0,0.0,0.08450704225352113,0.0,0.0,0.0,0.0,0.6
S0010482518304086,0.0,0.0,0.0,0.0,0.12244897959183673,0.0,0.0,0.0,0.0,0.6
S0306452217302245,0.0,0.0,0.0,0.0,0.07317073170731707,0.0,0.0,0.0,0.0,0.6
S2589152919301218,0.0,0.0,0.0,0.1,0.1780821917808219,0.0,0.0,0.0,0.14285714285714285,0.9285714285714286
S175161611730320X,0.0,0.0,0.0,0.0,0.047058823529411764,0.0,0.0,0.0,0.0,0.5714285714285714
S2211320719300508,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.8571428571428571
S2213596015000367,0.0,0.0,0.0,0.0,0.08771929824561403,0.0,0.0,0.0,0.0,0.9090909090909091
S2468550X17300333,0.0,0.0,0.0,0.0,0.140625,0.0,0.0,0.0,0.0,1.0
S0963868717302263,0.2,0.2,0.13333333333333333,0.15,0.15555555555555556,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.6363636363636364
S092420311630159X,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.4444444444444444
S0021999116305642,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.7857142857142857
S0168365919304560,0.0,0.0,0.0,0.05,0.06741573033707865,0.0,0.0,0.0,0.14285714285714285,0.8571428571428571
S0917504017301119,0.2,0.1,0.06666666666666667,0.05,0.15,0.1,0.1,0.1,0.1,0.9
S1385894717302115,0.0,0.0,0.0,0.0,0.10112359550561797,0.0,0.0,0.0,0.0,1.0
S0264127519302187,0.0,0.0,0.0,0.0,0.1506849315068493,0.0,0.0,0.0,0.0,0.9166666666666666
S1387380615000226,0.0,0.0,0.0,0.05,0.05714285714285714,0.0,0.0,0.0,0.125,0.25
S1871678416326590,0.0,0.1,0.06666666666666667,0.05,0.09859154929577464,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.7777777777777778
S1385894719300257,0.8,0.4,0.3333333333333333,0.4,0.17721518987341772,0.25,0.25,0.3125,0.5,0.875
S0012821X17305320,0.0,0.0,0.0,0.0,0.11235955056179775,0.0,0.0,0.0,0.0,1.0
S2210261219305966,0.0,0.0,0.0,0.1,0.1827956989247312,0.0,0.0,0.0,0.10526315789473684,0.8947368421052632
S2211320715300087,0.0,0.0,0.0,0.0,0.09375,0.0,0.0,0.0,0.0,1.0
S0959652614010427,0.2,0.1,0.06666666666666667,0.05,0.044642857142857144,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.5555555555555556
S1878614619301473,0.2,0.1,0.06666666666666667,0.05,0.12307692307692308,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.8888888888888888
S0022407318300797,0.0,0.0,0.06666666666666667,0.1,0.09195402298850575,0.0,0.0,0.1111111111111111,0.2222222222222222,0.8888888888888888
S2352513419301395,0.0,0.0,0.0,0.0,0.10810810810810811,0.0,0.0,0.0,0.0,0.8888888888888888
S0190052816000109,0.0,0.0,0.13333333333333333,0.1,0.11363636363636363,0.0,0.0,0.25,0.25,0.625
S095183201731400X,0.0,0.0,0.0,0.05,0.09523809523809523,0.0,0.0,0.0,0.125,0.75
S0308597X15002985,0.0,0.1,0.06666666666666667,0.05,0.11224489795918367,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.8461538461538461
S1063458416301017,0.0,0.0,0.0,0.0,0.07526881720430108,0.0,0.0,0.0,0.0,1.0
S0306261914011076,0.0,0.0,0.0,0.0,0.07216494845360824,0.0,0.0,0.0,0.0,0.875
S1569904816301586,0.0,0.0,0.0,0.05,0.07042253521126761,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334
S0022509619306611,0.4,0.3,0.2,0.2,0.14102564102564102,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.19047619047619047,0.5238095238095238
S0377221715007924,0.4,0.2,0.13333333333333333,0.1,0.109375,0.2,0.2,0.2,0.2,0.7
S0947358016300292,0.0,0.0,0.13333333333333333,0.15,0.15151515151515152,0.0,0.0,0.2,0.3,1.0
S1090951616302498,0.0,0.0,0.0,0.1,0.16666666666666666,0.0,0.0,0.0,0.25,0.875
S1472979215207020,0.0,0.0,0.0,0.05,0.11594202898550725,0.0,0.0,0.0,0.1,0.8
S0040609016000651,0.0,0.0,0.06666666666666667,0.15,0.12121212121212122,0.0,0.0,0.05555555555555555,0.16666666666666666,0.4444444444444444
S0022399916300198,0.0,0.0,0.0,0.0,0.07894736842105263,0.0,0.0,0.0,0.0,0.75
S0277379117307291,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.4444444444444444
S0304401716303703,0.0,0.0,0.0,0.05,0.14285714285714285,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334
S0148296315003926,0.2,0.1,0.06666666666666667,0.1,0.14893617021276595,0.125,0.125,0.125,0.25,0.875
S1550830713003017,0.0,0.0,0.0,0.0,0.0641025641025641,0.0,0.0,0.0,0.0,0.625
S0264410X19309272,0.0,0.2,0.13333333333333333,0.1,0.048,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.8571428571428571
S0021979714006900,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.75
S2468067218300890,0.2,0.1,0.06666666666666667,0.1,0.10606060606060606,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.6363636363636364
S0264410X15011196,0.2,0.1,0.06666666666666667,0.05,0.11538461538461539,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.0
S0168365917300585,0.0,0.0,0.06666666666666667,0.1,0.1,0.0,0.0,0.1,0.2,0.7
S0968089618302098,0.0,0.0,0.0,0.0,0.09615384615384616,0.0,0.0,0.0,0.0,0.7142857142857143
S0747563216306574,0.0,0.0,0.0,0.0,0.0945945945945946,0.0,0.0,0.0,0.0,0.7
S0264410X16001250,0.0,0.0,0.0,0.0,0.056818181818181816,0.0,0.0,0.0,0.0,1.0
S2352179118302643,0.0,0.0,0.0,0.0,0.08247422680412371,0.0,0.0,0.0,0.0,0.8888888888888888
S1568163716301106,0.4,0.2,0.13333333333333333,0.15,0.1016949152542373,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.8571428571428571
S0367326X1830981X,0.0,0.1,0.2,0.2,0.08333333333333333,0.0,0.1111111111111111,0.3333333333333333,0.4444444444444444,0.7777777777777778
S0968000416300408,0.2,0.1,0.06666666666666667,0.05,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0
S2211335519301457,0.0,0.0,0.0,0.0,0.10588235294117647,0.0,0.0,0.0,0.0,0.9
S8756328219304715,0.0,0.0,0.06666666666666667,0.05,0.04838709677419355,0.0,0.0,0.25,0.25,0.75
S0955221916302400,0.0,0.3,0.2,0.25,0.12307692307692308,0.0,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.7272727272727273
S2352409X1630205X,0.0,0.0,0.13333333333333333,0.1,0.10714285714285714,0.0,0.0,0.25,0.25,0.75
S0921889019304841,0.0,0.1,0.06666666666666667,0.05,0.05454545454545454,0.0,0.2,0.2,0.2,0.6
S0305048319307479,0.2,0.1,0.06666666666666667,0.05,0.058823529411764705,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5
S8756328219304508,0.0,0.0,0.0,0.0,0.09722222222222222,0.0,0.0,0.0,0.0,0.875
S0272735816303373,0.0,0.1,0.06666666666666667,0.05,0.13043478260869565,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.8181818181818182
S1352231016307336,0.0,0.0,0.0,0.0,0.07017543859649122,0.0,0.0,0.0,0.0,0.3076923076923077
S0368204816302316,0.0,0.0,0.0,0.05,0.14285714285714285,0.0,0.0,0.0,0.125,1.0
